, ACTUAL VALUES ,,,,,,,
Month, BV (Cu.M) , INFLATION_RATE (%) ,RAINFALL (mm), MEAN_TEMP , RDG_DAYS ,SUPPLY (MLD), TARIFF , WSC 
Jan-10," 33,489,139 ", 1.1 , 5.10 ,26.5, 31.29 ," 1,249.37 ",24.75," 681,600 "
Feb-10," 33,105,948 ", 2.2 , 1.00 ,27.4, 30.56 ," 1,261.39 ",26.17," 687,233 "
Mar-10," 32,101,654 ", 1.6 , 2.41 ,28.6, 28.93 ," 1,278.76 ",26.1," 691,802 "
Apr-10," 34,383,105 ", 2.4 , 20.09 ,29.9, 31.18 ," 1,270.77 ",26.33," 696,992 "
May-10," 34,521,917 ", 1.6 , 62.18 ,31.2, 30.12 ," 1,320.69 ",26.12," 703,383 "
Jun-10," 35,654,260 ", 1.7 , 354.25 ,29.6, 30.45 ," 1,332.78 ",26.25," 708,816 "
Jul-10," 35,474,536 ", 3.0 , 411.58 ,28.8, 30.31 ," 1,277.62 ",25.33," 714,491 "
Aug-10," 35,349,414 ", 4.0 , 626.41 ,28.4, 30.50 ," 1,236.98 ",25.31," 719,849 "
Sep-10," 35,119,374 ", 2.6 , 387.61 ,28.5, 30.90 ," 1,222.23 ",25.86," 724,888 "
Oct-10," 33,840,919 ", 0.8 , 411.58 ,27.9, 30.24 ," 1,231.97 ",25.69," 729,718 "
Nov-10," 34,186,874 ", 1.3 , 254.68 ,27.3, 30.84 ," 1,213.77 ",25.65," 733,061 "
Dec-10," 34,468,708 ", 1.3 , 137.00 ,26.4, 30.46 ," 1,236.55 ",25.31," 738,439 "
Jan-11," 33,677,308 ", 3.9 , 156.02 ,25.8, 30.91 ," 1,223.86 ",25.73," 741,686 "
Feb-11," 33,372,780 ", 3.9 , 0.20 ,26.5, 30.46 ," 1,220.09 ",25.69," 744,687 "
Mar-11," 31,837,046 ", 3.3 , 32.79 ,27.4, 28.63 ," 1,234.16 ",27.14," 749,761 "
Apr-11," 34,575,436 ", 3.1 , 3.60 ,27.7, 30.97 ," 1,249.19 ",28.43," 753,404 "
May-11," 34,824,602 ", 4.2 , 311.06 ,29.2, 30.35 ," 1,277.25 ",28.08," 756,206 "
Jun-11," 36,091,170 ", 5.1 , 727.78 ,28.2, 30.97 ," 1,301.27 ",28.07," 760,130 "
Jul-11," 34,214,278 ", 4.9 , 550.04 ,27.6, 30.19 ," 1,266.68 ",28.09," 762,290 "
Aug-11," 34,831,065 ", 3.9 , 632.70 ,27.5, 30.69 ," 1,260.55 ",28.26," 766,675 "
Sep-11," 35,176,993 ", 4.9 , 445.86 ,27.7, 31.04 ," 1,259.93 ",28.25," 769,576 "
Oct-11," 34,166,587 ", 6.1 , 284.29 ,27.7, 30.27 ," 1,259.29 ",28.15," 773,085 "
Nov-11," 34,806,334 ", 5.5 , 270.43 ,27.8, 30.84 ," 1,253.25 ",28.24," 777,087 "
Dec-11," 34,326,724 ", 4.8 , 219.20 ,26.8, 30.29 ," 1,260.66 ",28.16," 779,458 "
Jan-12," 34,536,567 ", 4.6 , 41.26 ,26.6, 30.92 ," 1,257.88 ",28.86," 783,586 "
Feb-12," 34,870,818 ", 3.1 , 129.02 ,26.7, 30.90 ," 1,265.53 ",31.56," 789,185 "
Mar-12," 33,601,334 ", 3.0 , 196.37 ,27.3, 29.40 ," 1,282.69 ",31.3," 792,920 "
Apr-12," 35,199,678 ", 2.5 , 1.99 ,29.3, 30.85 ," 1,283.71 ",31.5," 796,378 "
May-12," 36,547,355 ", 2.2 , 327.01 ,29.4, 30.40 ," 1,347.96 ",31.41," 799,293 "
Jun-12," 36,553,486 ", 1.7 , 314.19 ,28.4, 30.79 ," 1,337.61 ",31.47," 803,882 "
Jul-12," 35,127,282 ", 2.1 , 888.91 ,27.8, 30.20 ," 1,316.76 ",31.27," 806,587 "
Aug-12," 36,636,655 ", 3.1 ," 1,394.09 ",27.2, 30.86 ," 1,317.56 ",31.3," 812,260 "
Sep-12," 37,561,043 ", 2.2 , 735.10 ,27.9, 32.80 ," 1,344.44 ",31.08375," 688,275 "
Oct-12," 37,561,043 ", 1.8 , 340.36 ,27.5, 30.27 ," 1,333.71 ",31.08375," 797,742 "
Nov-12," 32,870,816 ", 0.7 , 26.58 ,27.8, 31.05 ," 1,311.67 ",31.08375," 818,582 "
